,datesold,price_1_unit,price_2_house,price_2_unit,price_3_house,price_3_unit,price_4_house,price_5_house
904,2009-07-30,305000.0,376428.5714285714,440666.6666666667,416750.0,421875.0,495000.0,1073000.0
905,2009-07-31,297500.0,375000.0,446750.0,438500.0,434500.0,532166.6666666666,946000.0
906,2009-08-01,290000.0,373000.0,452833.3333333333,488000.0,447125.0,524777.7777777778,819000.0
907,2009-08-02,282500.0,371000.0,458916.6666666667,465250.0,459750.0,517388.8888888889,692000.0
908,2009-08-03,275000.0,369000.0,465000.0,442500.0,472375.0,510000.0,565000.0
909,2009-08-04,308333.3333333333,367000.0,390000.0,402000.0,485000.0,542875.0,598571.4285714285
910,2009-08-05,341666.6666666667,365000.0,506375.0,403600.0,482023.8095238095,533000.0,632142.8571428572
911,2009-08-06,375000.0,361428.5714285714,622750.0,402500.0,479047.61904761905,523125.0,665714.2857142857
912,2009-08-07,369681.8181818182,357857.14285714284,546562.5,398333.3333333333,476071.4285714286,513250.0,699285.7142857143
913,2009-08-08,364363.63636363635,354285.71428571426,470375.0,412255.55555555556,473095.2380952381,519687.5,732857.1428571428
914,2009-08-09,359045.45454545453,350714.28571428574,394187.5,426177.77777777775,470119.04761904763,526125.0,766428.5714285714
915,2009-08-10,353727.2727272727,347142.85714285716,318000.0,440100.0,467142.85714285716,532562.5,800000.0
916,2009-08-11,348409.0909090909,343571.4285714286,315000.0,402250.0,464166.6666666667,539000.0,787222.2222222222
917,2009-08-12,343090.9090909091,340000.0,325000.0,380625.0,461190.4761904762,439500.0,774444.4444444445
918,2009-08-13,337772.7272727273,336428.5714285714,335000.0,359000.0,458214.28571428574,600000.0,761666.6666666666
919,2009-08-14,332454.54545454547,332857.14285714284,345000.0,396050.0,455238.09523809527,585000.0,748888.8888888889
920,2009-08-15,327136.36363636365,329285.71428571426,348750.0,408466.6666666667,452261.90476190473,570412.5,736111.1111111111
921,2009-08-16,321818.1818181818,325714.28571428574,352500.0,420883.3333333333,449285.7142857143,555825.0,723333.3333333334
922,2009-08-17,316500.0,322142.85714285716,356250.0,433300.0,446309.5238095238,541237.5,710555.5555555555
923,2009-08-18,311181.8181818182,318571.4285714286,352500.0,380000.0,443333.3333333333,1620000.0,697777.7777777778
924,2009-08-19,305863.63636363635,315000.0,348750.0,529700.0,440357.14285714284,535000.0,685000.0
925,2009-08-20,300545.45454545453,470033.3333333334,345000.0,407000.0,437380.95238095237,530500.0,672222.2222222222
926,2009-08-21,295227.2727272727,625066.6666666667,363125.0,404750.0,434404.7619047619,511000.0,659444.4444444445
927,2009-08-22,289909.09090909094,780100.0,381250.0,402500.0,431428.5714285714,701000.0,646666.6666666666
928,2009-08-23,284590.90909090906,752090.0,399375.0,400250.0,428452.38095238095,647500.0,633888.8888888889
929,2009-08-24,279272.7272727273,724080.0,417500.0,398000.0,425476.1904761905,550833.3333333334,621111.1111111111
930,2009-08-25,273954.54545454547,696070.0,435625.0,436000.0,422500.0,612916.6666666667,608333.3333333333
931,2009-08-26,268636.36363636365,668060.0,453750.0,455500.0,419523.8095238095,675000.0,595555.5555555555
932,2009-08-27,263318.1818181818,640050.0,471875.0,475000.0,416547.61904761905,511000.0,582777.7777777778
933,2009-08-28,258000.0,612040.0,490000.0,494125.0,413571.4285714286,508800.0,570000.0
934,2009-08-29,259766.66666666666,584030.0,481416.6666666667,513250.0,410595.2380952381,520866.6666666667,567000.0
935,2009-08-30,261533.33333333334,556020.0,472833.3333333333,448125.0,407619.04761904763,532933.3333333334,564000.0
936,2009-08-31,263300.0,528010.0,464250.0,383000.0,404642.85714285716,545000.0,561000.0
937,2009-09-01,265066.6666666667,500000.0,455666.6666666667,425000.0,401666.6666666667,573333.3333333333,558000.0
938,2009-09-02,266833.3333333333,655000.0,447083.3333333333,435500.0,398690.4761904762,601666.6666666666,555000.0
939,2009-09-03,268600.0,810000.0,438500.0,429250.0,395714.2857142857,498000.0,552000.0
940,2009-09-04,270366.6666666667,796441.1764705882,431000.0,423000.0,392738.09523809527,670000.0,549000.0
941,2009-09-05,272133.3333333333,782882.3529411765,423500.0,453750.0,389761.90476190473,585000.0,546000.0
942,2009-09-06,273900.0,769323.5294117647,416000.0,432500.0,386785.7142857143,560000.0,662333.3333333334
943,2009-09-07,275666.6666666667,755764.7058823529,408500.0,411250.0,383809.5238095238,535000.0,778666.6666666667
944,2009-09-08,277433.3333333333,742205.8823529412,401000.0,390000.0,380833.3333333334,470000.0,895000.0
945,2009-09-09,279200.0,728647.0588235294,393500.0,405000.0,377857.14285714284,480000.0,887500.0
946,2009-09-10,280966.6666666667,715088.2352941176,386000.0,423000.0,374880.95238095237,491361.5,880000.0
947,2009-09-11,282733.3333333333,701529.4117647059,378500.0,502875.0,371904.7619047619,502723.0,844166.6666666666
948,2009-09-12,284500.0,687970.5882352941,368428.5714285714,582750.0,368928.5714285714,553250.0,808333.3333333334
949,2009-09-13,286266.6666666667,674411.7647058824,358357.14285714284,481750.0,365952.38095238095,810000.0,772500.0
950,2009-09-14,288033.3333333333,660852.9411764706,348285.71428571426,380750.0,362976.1904761905,660000.0,736666.6666666666
951,2009-09-15,289800.0,647294.1176470588,338214.28571428574,420500.0,360000.0,595833.3333333334,700833.3333333334
952,2009-09-16,291566.6666666667,633735.2941176471,328142.85714285716,468500.0,363466.6666666667,531666.6666666666,665000.0
953,2009-09-17,293333.3333333333,620176.4705882353,318071.4285714286,484975.0,366933.3333333333,467500.0,629166.6666666666
954,2009-09-18,295100.0,606617.6470588236,308000.0,645000.0,370400.0,515350.0,593333.3333333333
955,2009-09-19,296866.6666666667,593058.8235294118,343500.0,507000.0,373866.6666666667,557000.0,557500.0
956,2009-09-20,298633.3333333333,579500.0,379000.0,506750.0,377333.3333333333,685000.0,521666.6666666667
957,2009-09-21,300400.0,565941.1764705882,414500.0,506500.0,380800.0,422860.0,485833.3333333333
958,2009-09-22,302166.6666666667,552382.3529411765,450000.0,649500.0,384266.6666666667,519200.0,450000.0
959,2009-09-23,303933.3333333333,538823.5294117647,378000.0,410000.0,387733.3333333333,502500.0,660000.0
960,2009-09-24,305700.0,525264.705882353,383329.1666666667,377500.0,391200.0,954900.0,870000.0
961,2009-09-25,307466.6666666667,511705.8823529412,388658.3333333333,393800.0,394666.6666666667,435000.0,1080000.0
962,2009-09-26,309233.3333333333,498147.05882352946,393987.5,539500.0,398133.3333333333,656000.0,927833.3333333333
963,2009-09-27,311000.0,484588.23529411765,399316.6666666667,483875.0,401600.0,609500.0,775666.6666666666
964,2009-09-28,265500.0,471029.4117647059,404645.8333333333,428250.0,405066.6666666667,563000.0,623500.0
965,2009-09-29,220000.0,457470.58823529416,409975.0,374100.0,408533.3333333333,532500.0,1093000.0
966,2009-09-30,229000.0,443911.76470588235,398737.5,391528.5714285714,412000.0,442500.0,1562500.0
967,2009-10-01,236750.0,430352.9411764706,387500.0,412750.0,409416.6666666667,601666.6666666666,1511176.4705882352
968,2009-10-02,244500.0,416794.11764705885,395000.0,409916.6666666667,406833.3333333333,442000.0,1459852.9411764706
969,2009-10-03,252250.0,403235.2941176471,402500.0,420287.5,404250.0,851000.0,1408529.4117647058
970,2009-10-04,260000.0,389676.4705882353,410000.0,430658.3333333334,401666.6666666667,764500.0,1357205.8823529412
